sample_title	Amines	Amino acids	Bacterial cells	Carbohydrates	DHAA-C	DHAA-N	DOC	Sugar acids	TDN
2015-EG4-10	10.35	159.51	123194	433.82	0.55	0.2	51.58	0	NA
2015-EG4-20	0	105.28	70071	1327.78	0.36	0.13	50	0	NA
2015-EG4-30	10.7	133.34	29304	650.23	0.47	0.17	47.73	0	NA
2015-HG1-10	33.15	296.83	1296567	484.82	1.1	0.4	64.92	41.26	NA
2015-HG1-18	43.08	233.77	1228955	667.55	0.87	0.32	66.4	61.27	NA
2015-HG1-32	27.67	118.78	682353	260.85	0.41	0.15	63.93	28.86	NA
2015-HG4-15	31.77	324.48	930372	379.01	1.16	0.43	69.22	32.88	NA
2015-HG4-5	35.92	931.85	1143215	437.3	3.37	1.21	87.51	32.41	NA
2015-HG4-50	20.62	856.25	1560272	349.5	3.07	1.11	57.22	29.6	NA
2015-HG9-15	37.83	220.69	1268379	512.2	0.81	0.29	66.11	38.32	NA
2015-HG9-25	28.01	194.39	1094486	950.39	0.7	0.26	64.03	36.83	NA
2015-HG9-50	21.86	138.23	793339	193.2	0.49	0.17	58.63	0	NA
2015-N4-15	10.39	97.94	129351	147.09	0.69	0.25	52.19	0	NA
2015-N4-27	11.49	90.1	47348	173.32	0.9	0.32	50.08	0	NA
2015-N4-40	7.97	61	37933	141.32	0.8	0.28	49.56	0	NA
2015-S3-15	30.86	244.41	993229	458.69	0.91	0.33	60.99	43.9	NA
2015-S3-50	20.07	180.34	781362	287.11	0.66	0.23	56.13	32.01	NA
2015-SV4-15	33.52	216.14	1340772	464.29	0.79	0.29	73.26	8.81	NA
2015-SV4-27	23.88	183.85	922192	240.41	0.67	0.24	61.48	8.14	NA
2015-SV4-40	19.71	121.53	431156	154.99	0.41	0.15	60.04	7.4	NA
2016-EG1-13	20.01	121	167934	277.84	0.42	0.15	110.13	16.04	8.18
2016-EG1-5	28.43	106.44	269053	369.14	0.37	0.13	102.44	0	9.17
2016-EG1-50	13.83	123.52	113405	158.47	0.43	0.16	103.83	0	10.74
2016-EG2-18	13.74	115.41	206548	298.66	0.4	0.14	72.65	16	8.66
2016-EG2-35	11.84	141.87	171490	212.74	0.5	0.18	71.27	9.6	9.11
2016-EG2-5	19.84	111.14	300173	431.46	0.39	0.14	116.87	27.01	5.23
2016-EG3-10	22.74	101.81	533944	1020.63	0.35	0.13	128.13	62.28	13.29
2016-EG3-32	16.42	139.91	235368	216.77	0.5	0.18	66.07	20.95	10.68
2016-EG3-60	15.07	114.9	137048	192.32	0.4	0.14	63.55	7	10.16
2016-EG4-10	14.53	104.31	373610	1843.72	0.37	0.13	129.45	44	5.18
2016-EG4-24	17.02	119.55	139138	266.73	0.43	0.15	78.25	19.72	9.06
2016-EG4-37	20.03	140.59	99492	162.53	0.5	0.18	109.08	0	8.07
2016-HG1-18	24.65	118.99	1227395	1983.2	0.41	0.15	110.46	60.89	3.96
2016-HG1-40	24.85	194.06	1069321	424.7	0.71	0.26	NA	38.73	NA
2016-HG1-5	23.91	106.17	1099060	2356.87	0.36	0.14	113.19	72.64	5.68
2016-HG4-10	36.25	120.22	825926	1646.92	0.42	0.15	86.16	79.04	4.73
2016-HG4-28	23.8	108.1	592676	584.19	0.38	0.14	66.73	54.15	11.39
2016-HG4-60	27.34	121.05	582248	203.73	0.43	0.15	64.25	18.88	14.32
2016-HG9-10_1	19.99	122.31	535291	975.69	0.43	0.15	103.33	39	2.85
2016-HG9-10_2	19.99	122.31	535291	975.69	0.43	0.15	103.33	39	2.85
2016-HG9-24	15.59	147.99	449084	1462.37	0.53	0.19	164.37	67.27	5.64
2016-HG9-42	NA	NA	NA	NA	NA	NA	NA	NA	NA
2016-HG9-45	15.5	167.27	247622	392.33	0.62	0.23	96.24	24.75	10.31
2016-HG9-56	NA	NA	NA	NA	NA	NA	NA	NA	NA
2016-HGV-25	25.46	134.62	550110	696.95	0.48	0.17	66.15	64.97	9.01
2016-N4-10	32.62	106.08	842510	1368.72	0.37	0.13	110.6	56.38	3.93
2016-N4-22	22.32	106.29	614934	1382.33	0.36	0.14	93.91	65.18	6.99
2016-N4-50	22.72	159.01	495124	350.24	0.57	0.21	66.2	30.57	12.63
2016-S3-10	34.27	126.91	907411	281.57	0.44	0.16	150.05	26.54	10.71
2016-S3-28	32.62	145.33	974512	312.55	0.53	0.19	66.16	26.85	10.7
2016-S3-60	26.7	135.17	583552	188.78	0.48	0.17	65.42	12	13.92
2016-SV1-18	39.42	152.68	942739	553.02	0.53	0.2	113.67	26.71	4.51
2016-SV1-45	25.99	195.77	816068	412.17	0.7	0.26	71.06	35.4	8.6
2016-SV1-5	47.03	140.5	742011	466.4	0.48	0.18	119.28	38.15	4.28
2016-SV2-10	31.52	122.28	682229	640.98	0.43	0.16	171.69	55.12	3.44
2016-SV2-33	21.4	131.22	1066914	731.28	0.46	0.17	68.1	59.98	11.03
2016-SV2-60	16.1	166.99	570050	250.27	0.58	0.22	59.18	25.56	14.43
2016-SV3-17	23.09	118.11	NA	428.89	0.4	0.15	71.74	36.13	10.08
2016-SV3-5	25.9	116.92	NA	484.45	0.4	0.15	109.47	41.73	8.82
2016-SV3-50	17.52	162.75	NA	280.26	0.56	0.21	90.47	13.79	14.29
2016-SV4-22	32.42	137.32	2482983	460.73	0.49	0.18	75.95	29.56	9.09
2016-SV4-5	34.41	133.57	2092510	516.78	0.47	0.17	127	37.54	8.47
2016-SV4-75	16.05	287.94	521398	159.4	1.12	0.39	71.88	0	18.12
2017-0E-10	25.05	242.39	427256	406.01	0.86	0.33	88	5.58	8.32
2017-0E-100	11.92	181.85	289911	265.51	0.62	0.23	58.19	0	18.07
2017-0E-22	15.14	183.49	376203	307.62	0.63	0.24	74.13	4.35	10.1
2017-EG1-10	30.23	186	223163	262.37	0.62	0.24	93.51	8.9	4.7
2017-EG1-100	10.09	152.44	154081	262.29	0.51	0.19	64.17	0	12.85
2017-EG1-35	26.41	188.81	261894	236.01	0.64	0.25	97.71	4.34	6.21
2017-EG2-10	29.95	200.24	199407	412.97	0.69	0.26	100.94	3.23	5.55
2017-EG2-100	11.44	111.44	127397	193.72	0.36	0.14	60.49	0	12.95
2017-EG2-35	22.89	184.19	183423	260.59	0.61	0.23	89.99	6.76	7.72
2017-EG4-10	26.66	246.84	396593	314.54	0.85	0.32	97.97	5.86	6.65
2017-EG4-100	13.58	130.9	114677	164.4	0.43	0.16	59.47	0	16.33
2017-EG4-20	25.78	226.81	302038	288.84	0.77	0.29	96.38	5.09	7.62
2017-HG1-10	52.38	427.62	1151756	654.75	1.65	0.59	72.41	29.27	4.13
2017-HG1-100	12.22	108	292393	204.71	0.36	0.14	56.39	0	15.11
2017-HG1-20	47.03	366.42	603339	584.9	1.42	0.5	67.8	24.36	4.81
2017-HG2-10	15.97	243.52	445993	172.3	0.89	0.32	76.35	0	3.76
2017-HG2-100	38.04	111.22	311191	526.65	0.38	0.14	58.28	20.79	17.83
2017-HG2-25	18.68	133.43	367688	227.86	0.46	0.17	68.36	3.7	9.15
2017-HG4-10	26.75	191.69	319388	338.45	0.66	0.25	89.85	5.37	10.12
2017-HG4-100	13.67	126.12	422824	206.43	0.42	0.16	60.9	3.31	17.41
2017-HG4-25	18.82	133.65	231372	267.26	0.44	0.17	82.31	2.38	12.9
2017-HG9-10	35.27	229.22	294985	643.6	0.79	0.29	76.2	17.14	4.43
2017-HG9-100	16.57	122.3	533367	306.24	0.41	0.15	56.85	6.37	16.66
2017-HG9-35	36.73	187.81	859626	798.35	0.66	0.24	66	30.05	5.78
2017-N4-10	32.56	194.79	416412	408.46	0.67	0.25	80.07	11.66	4.07
2017-N4-100	16.85	98.75	375192	163.87	0.33	0.12	58.64	7.45	14.97
2017-N4-25	20.75	182.51	437006	258.29	0.63	0.24	76.97	4.94	7.09
2017-N5-10	36	341.03	594620	468.75	1.32	0.49	71.3	23.79	5.79
2017-N5-100	18.92	118.9	396021	229.33	0.4	0.16	58.71	8.94	16.04
2017-N5-30	25.67	287.82	881650	252.77	1.11	0.41	63.08	14.47	11.67
2017-S3-10	28.6	119.18	659255	411.05	0.4	0.15	71.98	9.14	6.81
2017-S3-100	15.38	222.82	328432	278.25	0.8	0.29	58.11	8.74	16.19
2017-S3-15	30.15	215.24	735801	379.86	0.77	0.28	71.5	14.12	6.22
2017-SV1-10	61.16	204.65	698867	448.04	0.73	0.27	68.09	39.88	2.58
2017-SV1-100	18.31	131.2	297644	258.01	0.44	0.17	60.32	5.66	12.17
2017-SV1-35	19.57	194.06	535605	226.37	0.68	0.26	63.66	5.07	6.73
2017-SV2-10	63	248.56	661762	497.75	0.9	0.34	84.84	29.67	2.52
2017-SV2-100	43.86	116.35	314166	416.49	0.38	0.15	58.17	15.69	13.91
2017-SV2-15	22.83	196.77	724315	239.33	0.72	0.27	66.69	7.79	4.23
