Station	date	PangaeaEvent	lat	lon	depth	chl	chl_larger3um	chl_0.4-3um
S3	2016-06-25	PS99_041-1	78.61033	5.06350	10	0.4605	0.1551	0.3054
S3	2016-06-25	PS99_041-1	78.61033	5.06350	28	0.9501	0.5278	0.4223
S3	2016-06-25	PS99_041-1	78.61033	5.06350	60	0.1583	0.1276	0.0307
HG4	2016-06-26	PS99_042-1	79.06600	4.18433	10	0.2504	0.1575	0.0929
HG4	2016-06-26	PS99_042-1	79.06600	4.18433	28	2.3558	1.2280	1.1278
HG4	2016-06-26	PS99_042-1	79.06600	4.18433	60	0.4492	0.2811	0.1680
EG4	2016-06-30	PS99_048-1	78.82833	-2.76800	10	1.5304	0.9118	0.6186
EG4	2016-06-30	PS99_048-1	78.82833	-2.76800	24	0.8103	0.3854	0.4250
EG4	2016-06-30	PS99_048-1	78.82833	-2.76800	37	0.2618	0.1357	0.1260
EG3	2016-07-01	PS99_049-1	78.86217	-3.97333	10	0.4363	0.2289	0.2074
EG3	2016-07-01	PS99_049-1	78.86217	-3.97333	33	1.0705	0.5797	0.4908
EG3	2016-07-01	PS99_049-1	78.86217	-3.97333	59	0.1543	0.0541	0.1002
EG2	2016-07-01	PS99_050-1	78.93667	-4.65033	5	1.0495	0.8354	0.2141
EG2	2016-07-01	PS99_050-1	78.93667	-4.65033	18	1.0314	0.7298	0.3016
EG2	2016-07-01	PS99_050-1	78.93667	-4.65033	35	0.5332	0.2585	0.2747
EG1	2016-07-02	PS99_051-2	78.99083	-5.40933	5	0.4072	0.3821	0.0250
EG1	2016-07-02	PS99_051-2	78.99083	-5.40933	13	0.7998	0.7287	0.0711
EG1	2016-07-02	PS99_051-2	78.99083	-5.40933	50	0.0525	0.0162	0.0364
N4	2016-07-05	PS99_055-1	79.74150	4.50350	10	1.1052	0.0614	1.0438
N4	2016-07-05	PS99_055-1	79.74150	4.50350	22	0.1670	0.0673	0.0996
N4	2016-07-05	PS99_055-1	79.74150	4.50350	50	0.1511	0.1091	0.0420
HG9	2016-07-06	PS99_059-2	79.13483	2.84583	10	0.0703	0.0186	0.0517
HG9	2016-07-06	PS99_059-2	79.13483	2.84583	24	0.7126	0.4282	0.2844
HG9	2016-07-06	PS99_059-2	79.13483	2.84583	45	0.7610	0.2408	0.5203
SV2	2016-07-09	PS99_064-2	78.98100	9.51250	10	0.3926	0.2747	0.1180
SV2	2016-07-09	PS99_064-2	78.98100	9.51250	33	1.0608	0.3579	0.7029
SV2	2016-07-09	PS99_064-2	78.98100	9.51250	60	0.0671	0.0194	0.0477
SV1	2016-07-09	PS99_065-2	79.02633	11.09250	5	0.5001	0.3442	0.1559
SV1	2016-07-09	PS99_065-2	79.02633	11.09250	18	1.2312	0.4217	0.8095
HG1	2016-07-09	PS99_066-2	79.13917	6.08850	4	1.3169	0.8483	0.4686
HG1	2016-07-09	PS99_066-2	79.13917	6.08850	18	0.8693	0.5580	0.3113
HG1	2016-07-09	PS99_066-2	79.13917	6.08850	40	0.4338	0.1850	0.2488
S3	2017-07-26	PS107_2-13	78.60827	5.05542	15	0.7880	0.4937	0.2946
HG4	2017-07-28	PS107_6-8	79.06508	4.16811	25	0.1360	0.0563	0.0800
HG9	2017-08-01	PS107_20-8	79.13355	2.84477	35	0.7250	0.5541	0.1706
0E	2017-08-02	PS107_21-1	78.96426	0.00380	22	0.4810	0.3346	0.1469
EG4	2017-08-03	PS107_22-6	78.81881	-2.71692	22	0.1960	0.0947	0.1012
EG2	2017-08-05	PS107_28-1	78.93364	-4.63480	35	0.5190	0.4505	0.0686
EG1	2017-08-05	PS107_29-1	78.99488	-5.47351	35	0.8700	0.6863	0.1836
N4	2017-08-08	PS107_33-6	79.72719	4.50292	25	1.6050	1.2045	0.4007
N5	2017-08-09	PS107_34-5	80.00033	2.94023	30	1.3080	0.9205	0.3876
HG1	2017-08-12	PS107_43-6	79.15275	6.11524	20	0.4730	0.3558	0.1167
SV4	2017-08-13	PS107_44-3	79.03407	7.00186	23	0.7610	0.5925	0.1689
SV3	2017-08-14	PS107_45-1	79.00451	8.36365	25	0.4270	0.2791	0.1477
SV2	2017-08-14	PS107_47-1	78.98290	9.50807	10	0.3530	0.2522	0.1004
SV1	2017-08-14	PS107_48-1	79.02925	11.10169	35	0.8850	0.5035	0.3811
HG4	2018-07-16	PS114_4-1	79.02359	4.33352	35	1.9010	1.2508	0.6498
S3	2018-07-17	PS114_9-1	78.60667	5.04132	30	1.3310	0.6651	0.6663
N4	2018-07-22	PS114_32-2	79.73950	4.52573	43	0.9240	0.2615	0.6627
N3	2018-07-23	PS114_33-1	79.59882	5.16590	20	0.3120	0.1757	0.1366
EG4	2018-07-26	PS114_43-4	78.81758	-2.76917	16	0.7830	0.6055	0.1778
EG1	2018-07-27	PS114_46-8	79.01244	-5.28514	15	0.6360	0.4478	0.1884
S3	2019-08-17	PS121_1-2	78.60208	5.05046	100	0.0140	0.0091	0.0049
S3	2019-08-17	PS121_1-2	78.60208	5.05046	20	0.5870	0.1725	0.4146
S3	2019-08-17	PS121_1-2	78.60208	5.05046	10	0.5570	0.1429	0.4146
HG1	2019-08-17	PS121_5-3	79.13433	6.08371	100	0.0060	0.0028	0.0036
HG1	2019-08-17	PS121_5-3	79.13433	6.08371	19	0.6500	0.1545	0.4952
HG1	2019-08-17	PS121_5-3	79.13433	6.08371	10	1.2330	0.3985	0.8349
HG4	2019-08-18	PS121_7-3	79.06558	4.18629	100	0.0095	0.0055	0.0040
HG4	2019-08-18	PS121_7-3	79.06558	4.18629	14	0.7229	0.3150	0.4080
HG4	2019-08-18	PS121_7-3	79.06558	4.18629	10	0.5635	0.2097	0.3539
HG3	2019-08-21	PS121_12-2	79.10721	4.62736	100	0.0275	0.0213	0.0063
HG3	2019-08-21	PS121_12-2	79.10721	4.62736	25	0.5759	0.1812	0.3947
HG3	2019-08-21	PS121_12-2	79.10721	4.62736	10	0.5958	0.2524	0.3434
HG5	2019-08-23	PS121_15-1	79.05676	3.67310	100	0.0066	0.0027	0.0040
HG5	2019-08-23	PS121_15-1	79.05676	3.67310	20	0.5886	0.2044	0.3842
HG5	2019-08-23	PS121_15-1	79.05676	3.67310	10	0.6717	0.2173	0.4544
HG2	2019-08-23	PS121_16-5	79.12691	4.90900	101	0.0125	0.0061	0.0065
HG2	2019-08-23	PS121_16-5	79.12691	4.90900	20	0.8577	0.2732	0.5844
HG2	2019-08-23	PS121_16-5	79.12691	4.90900	10	0.6802	0.1831	0.4971
HG4	2019-08-25	PS121_24-2	79.06316	3.58715	100	0.0074	0.0042	0.0032
HG4	2019-08-25	PS121_24-2	79.06316	3.58715	15	0.4571	0.1440	0.3131
HG4	2019-08-25	PS121_24-2	79.06316	3.58715	10	0.5332	0.1490	0.3842
HG7	2019-08-25	PS121_25-2	79.06144	3.48323	100	0.0080	0.0034	0.0046
HG7	2019-08-25	PS121_25-2	79.06144	3.48323	19	0.4191	0.1601	0.2590
HG7	2019-08-25	PS121_25-2	79.06144	3.48323	10	0.6840	0.3899	0.2941
HG8	2019-08-26	PS121_27-2	79.06576	3.32840	100	0.0099	0.0044	0.0055
HG8	2019-08-26	PS121_27-2	79.06576	3.32840	25	0.8463	0.3368	0.5095
HG8	2019-08-26	PS121_27-2	79.06576	3.32840	10	0.6281	0.1822	0.4459
HG9	2019-08-27	PS121_28-4	79.13917	2.81993	98	0.0051	0.0023	0.0028
HG9	2019-08-27	PS121_28-4	79.13917	2.81993	20	0.5127	0.1417	0.3710
HG9	2019-08-27	PS121_28-4	79.13917	2.81993	10	0.5408	0.1347	0.4061
0E	2019-08-28	PS121_29-1	78.95942	0.03843	100	0.0085	0.0053	0.0032
0E	2019-08-28	PS121_29-1	78.95942	0.03843	20	0.0867	0.0452	0.0416
