"sample_title"	"Station"	"region"	"lat"	"lon"	"depth"	"layer"	"date"	"PangaeaEvent"	"temp"	"sal"	"O2_conc"	"O2_sat"	"forward_read_file_name"	"reverse_read_file_name"	"seqname"	"miseq_id"	"forward_read_file_checksum"	"reverse_read_file_checksum"
"2015-S3-15"	"S3"	"eastern Fram Strait"	78.599	5.06833	15	"surface"	"2015-07-24"	"PS93_048-7"	6.7439	35.0084	316.6751	104.2559	"FRAM-305-PS93-2-0048-7-15m_S1_L001_R1_001.fastq.gz"	"FRAM-305-PS93-2-0048-7-15m_S1_L001_R2_001.fastq.gz"	"FRAM-305-PS93-2-0048-7-15m_S1_L001"	"J3FNT"	"aeb6eb868da84fe1f058e10703b6d9f3"	"217c1fcf4a3b5765fcdc532c63c13a84"
"2015-S3-50"	"S3"	"eastern Fram Strait"	78.599	5.06833	50	"bel.chl-max"	"2015-07-24"	"PS93_048-7"	5.0423	35.0703	312.7897	98.9448	"FRAM-306-PS93-2-0048-7-50m_S12_L001_R1_001.fastq.gz"	"FRAM-306-PS93-2-0048-7-50m_S12_L001_R2_001.fastq.gz"	"FRAM-306-PS93-2-0048-7-50m_S12_L001"	"J3FNT"	"af5a2d9d6927e82baa14826aeb261bba"	"26dc2369157bef81a9a4c8520243a8f5"
"2015-HG4-5"	"HG4"	"eastern Fram Strait"	79.06517	4.179	5	"surface"	"2015-07-26"	"PS93_050-7"	6.8506	34.7888	328.443	108.2448	"FRAM-308-PS93-2-0050-7-5m_S23_L001_R1_001.fastq.gz"	"FRAM-308-PS93-2-0050-7-5m_S23_L001_R2_001.fastq.gz"	"FRAM-308-PS93-2-0050-7-5m_S23_L001"	"J3FNT"	"d1f0d123c92a66fe2da5545190b1f53d"	"964178abc5633899fa570d928513fa23"
"2015-HG4-15"	"HG4"	"eastern Fram Strait"	79.06517	4.179	15	"chl-max"	"2015-07-26"	"PS93_050-7"	6.8357	34.788	329.6087	108.5907	"FRAM-309-PS93-2-0050-7-15m-chl-max_S34_L001_R1_001.fastq.gz"	"FRAM-309-PS93-2-0050-7-15m-chl-max_S34_L001_R2_001.fastq.gz"	"FRAM-309-PS93-2-0050-7-15m-chl-max_S34_L001"	"J3FNT"	"a2e7dc1a1d2de4f23ba70c204d520900"	"cd76db8eb56cc76ec708ebc664cd44de"
"2015-HG4-50"	"HG4"	"eastern Fram Strait"	79.06517	4.179	50	"bel.chl-max"	"2015-07-26"	"PS93_050-7"	4.7038	35.0606	316.6751	99.3513	"FRAM-310-PS93-2-0050-7-50m_S45_L001_R1_001.fastq.gz"	"FRAM-310-PS93-2-0050-7-50m_S45_L001_R2_001.fastq.gz"	"FRAM-310-PS93-2-0050-7-50m_S45_L001"	"J3FNT"	"945898d391e8188aa0e727cb11f7624f"	"57c29acaa129c9367dad8217499ee67d"
"2015-EG4-10"	"EG4"	"western Fram Strait"	78.8615	-2.70933	10	"surface"	"2015-07-30"	"PS93_058-8"	-0.3067	32.2921	388.2562	105.2141	"FRAM-311-PS93-2-0058-8-10m_S56_L001_R1_001.fastq.gz"	"FRAM-311-PS93-2-0058-8-10m_S56_L001_R2_001.fastq.gz"	"FRAM-311-PS93-2-0058-8-10m_S56_L001"	"J3FNT"	"261730e47433262433852aa8d631dd97"	"1a5877b733a160e742dbe7d7c3778e43"
"2015-EG4-20"	"EG4"	"western Fram Strait"	78.8615	-2.70933	20	"chl-max"	"2015-07-30"	"PS93_058-8"	-1.5931	33.7101	370.3966	97.8805	"FRAM-312-PS93-2-0058-8-20m-chl-max_S67_L001_R1_001.fastq.gz"	"FRAM-312-PS93-2-0058-8-20m-chl-max_S67_L001_R2_001.fastq.gz"	"FRAM-312-PS93-2-0058-8-20m-chl-max_S67_L001"	"J3FNT"	"385c56160fd9b146858bc1aeef908295"	"e27f94fe3176517aacd498863936e481"
"2015-EG4-30"	"EG4"	"western Fram Strait"	78.8615	-2.70933	30	"bel.chl-max"	"2015-07-30"	"PS93_058-8"	-1.6446	33.8809	348.2944	92.0184	"FRAM-313-PS93-2-0058-8-30m_S77_L001_R1_001.fastq.gz"	"FRAM-313-PS93-2-0058-8-30m_S77_L001_R2_001.fastq.gz"	"FRAM-313-PS93-2-0058-8-30m_S77_L001"	"J3FNT"	"b31fe5ad930d9e44170a8585f8ae4938"	"903df8d0be73fa96f973a3e08e2e921a"
"2015-N4-15"	"N4"	"eastern Fram Strait"	79.82167	4.25367	15	"surface"	"2015-08-04"	"PS93_064-4"	6.8589	34.607	334.5168	110.1377	"FRAM-314-PS93-2-0064-4-15m_S2_L001_R1_001.fastq.gz"	"FRAM-314-PS93-2-0064-4-15m_S2_L001_R2_001.fastq.gz"	"FRAM-314-PS93-2-0064-4-15m_S2_L001"	"J3FNT"	"b39035c98b40f849d16ab38724544529"	"f94a4a558b9a3acfb0c317e10203d688"
"2015-N4-27"	"N4"	"eastern Fram Strait"	79.82167	4.25367	27	"chl-max"	"2015-08-04"	"PS93_064-4"	5.1913	34.7105	333.3556	105.5789	"FRAM-315-PS93-2-0064-4-27m-chl-max_S13_L001_R1_001.fastq.gz"	"FRAM-315-PS93-2-0064-4-27m-chl-max_S13_L001_R2_001.fastq.gz"	"FRAM-315-PS93-2-0064-4-27m-chl-max_S13_L001"	"J3FNT"	"9f95a3b22c902e025d697dbd25ef8858"	"ca2084b25b8a2045d7ba7f3fcf925d3d"
