asv	tax	MAG_org	MAG
asv833	asv833_BD2-11 uc	FRAM_EGC1617_bin2-20	FRAM_EGC1617_bin2
asv540	asv540_OM75	FRAM_EGC1617_bin3-30	FRAM_EGC1617_bin3
asv579	asv579_Arctic97B-4 uc	FRAM_EGC1617_bin25-31	FRAM_EGC1617_bin25
asv355	asv355_SAR86 uc	FRAM_EGC1617_bin0-1	FRAM_EGC1617_bin0
asv372	asv372_OM182 uc	FRAM_EGC1617_bin34-17	FRAM_EGC1617_bin34
asv385	asv385_Gammaproteobacteria uc	FRAM_EGC1617_bin6-2	FRAM_EGC1617_bin6
asv1512	asv1512_Glaciecola	FRAM_EGC1617_bin41-1	FRAM_EGC1617_bin41
asv3	asv3_SUP05_cluster	FRAM_EGC1617_bin15-13	FRAM_EGC1617_bin15
asv5	asv5_Polaribacter	FRAM_EGC1617_bin37-5	FRAM_EGC1617_bin37
asv9	asv9_Aurantivirga	FRAM_EGC1617_bin28-4	FRAM_EGC1617_bin28
asv12	asv12_SAR92	FRAM_EGC1617_bin23-10	FRAM_EGC1617_bin23
asv13	asv13_Ulvibacter	FRAM_EGC1617_bin24-8	FRAM_EGC1617_bin24
asv20	asv20_Lentimonas	FRAM_EGC1617_bin31-3	FRAM_EGC1617_bin31
asv21	asv21_Luteolibacter	FRAM_EGC1617_bin42-13	FRAM_EGC1617_bin42
asv36	asv36_Planktomarina	FRAM_EGC1617_bin19-2	FRAM_EGC1617_bin19
asv54	asv54_Thiotrichaceae uc	FRAM_EGC1617_bin16-1	FRAM_EGC1617_bin16
asv63	asv63_Nitrincolaceae uc	FRAM_EGC1617_bin32-2	FRAM_EGC1617_bin32
asv71	asv71_Luteolibacter	FRAM_EGC1617_bin36-2	FRAM_EGC1617_bin36
asv79	asv79_Arctic97B-4 uc	FRAM_EGC1617_bin38-29	FRAM_EGC1617_bin38
asv86	asv86_Nitrincolaceae uc	FRAM_EGC1617_bin32-3	FRAM_EGC1617_bin32
asv142	asv142_Arenicellaceae uc	FRAM_EGC1617_bin10-19	FRAM_EGC1617_bin10
asv151	asv151_SAR86 uc	FRAM_EGC1617_bin39-5	FRAM_EGC1617_bin39
asv159	asv159_OM182 uc	FRAM_EGC1617_bin11-2	FRAM_EGC1617_bin11
asv223	asv223_Nitrospina	FRAM_EGC1617_bin7-8	FRAM_EGC1617_bin7
asv525	asv525_Salinirepens	FRAM18_bin200-2	FRAM18_bin200
asv564	asv564_Cryomorphaceae uc	FRAM18_bin125-1	FRAM18_bin125
asv680	asv680_SAR116 uc	FRAM18_bin089-5	FRAM18_bin089
asv244	asv244_NS9 uc	FRAM18_bin198-52	FRAM18_bin198
asv258	asv258_Magnetospiraceae uc	FRAM18_bin083-10	FRAM18_bin083
asv259	asv259_Cryomorphaceae uc	FRAM18_bin174-22	FRAM18_bin174
asv267	asv267_Woeseia	FRAM18_bin319-4	FRAM18_bin319
asv301	asv301_NS5	FRAM18_bin214-5	FRAM18_bin214
asv320	asv320_NS5	FRAM18_bin185-16	FRAM18_bin185
asv356	asv356_NS5	FRAM18_bin222-2	FRAM18_bin222
asv369	asv369_Cand_Aquiluna	FRAM18_bin001-9	FRAM18_bin001
asv396	asv396_Porticoccus	FRAM18_bin294-33	FRAM18_bin294
asv5	asv5_Polaribacter	FRAM18_bin168-1	FRAM18_bin168
asv8	asv8_SAR86 uc	FRAM18_bin297-1	FRAM18_bin297
asv10	asv10_Amylibacter	FRAM18_bin019-3	FRAM18_bin019
asv11	asv11_NS5	FRAM18_bin161-4	FRAM18_bin161
asv13	asv13_Ulvibacter	FRAM18_bin137-2	FRAM18_bin137
