Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	EMNLIAAM_00001	158	889	731	IS91 family transposase ISVsa3	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00002	1355	4567	-3212	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00003	5053	7008	-1955	Hypothetical	NA	NA	NA	Sulfatase	NA	NA	NA
1	EMNLIAAM_00004	7197	7805	-608	Hypothetical	NA	NA	NA	NA	NA	NA	K07498
1	EMNLIAAM_00005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K03611
1	EMNLIAAM_00007	8858	9013	-155	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00008	9493	9861	368	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00009	9881	10897	1016	Putative NADP-dependent oxidoreductase YfmJ	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00010	11149	12600	1451	Putative diacyglycerol O-acyltransferase	NA	NA	NA	NA	NA	NA	K00635
1	EMNLIAAM_00011	12615	14615	-2000	protein kinase UbiB	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00012	14739	15353	-614	protein kinase UbiB	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00013	15459	16586	-1127	Caffeyl-CoA reductase-Etf complex subunit CarC	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00014	16596	16793	-197	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00015	16747	17799	-1052	Putative acyl-CoA dehydrogenase FadE17	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00016	17806	18438	-632	Hypothetical	NA	NA	NA	NA	NA	NA	K00799
1	EMNLIAAM_00017	18441	19613	-1172	Glutaryl-CoA dehydrogenase	NA	NA	NA	NA	NA	NA	K00249
1	EMNLIAAM_00018	19793	20092	-299	Thiosulfate sulfurtransferase GlpE	NA	NA	NA	NA	NA	NA	K02439
1	EMNLIAAM_00019	20145	20594	-449	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EMNLIAAM_00020	20612	21502	-890	Zinc transporter ZupT	NA	NA	NA	NA	NA	NA	K16267
1	EMNLIAAM_00021	21664	23205	1541	"4,4'-diapolycopene aldehyde oxidase"	NA	NA	NA	NA	NA	NA	NA
