Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	EPGBBDNF_00001	55	210	155	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00002	264	551	287	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00003	661	894	233	Lipoprotein-releasing system ATP-binding protein LolD	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00004	938	1372	434	putative ABC transporter ATP-binding protein	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00005	1449	4016	2567	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00006	4004	5257	1253	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00007	5528	5603	-75	tRNA-Met(cat)	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00008	5672	6505	-833	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00009	6652	7275	623	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	EPGBBDNF_00010	7311	8276	-965	Riboflavin transporter	NA	NA	NA	NA	NA	NA	K15270
1	EPGBBDNF_00012	10487	12526	-2039	DNA primase	NA	NA	NA	NA	NA	NA	K02316
1	EPGBBDNF_00013	12550	12996	-446	putative protein YqeY	NA	NA	NA	NA	NA	NA	K09117
1	EPGBBDNF_00014	13183	13398	-215	30S ribosomal protein S21	NA	NA	NA	NA	NA	NA	K02970
1	EPGBBDNF_00015	13679	14713	1034	tRNA N6-adenosine threonylcarbamoyltransferase	NA	NA	NA	NA	NA	NA	K01409
1	EPGBBDNF_00016	14749	15108	359	Dihydroneopterin aldolase	NA	NA	NA	NA	NA	NA	K01633
1	EPGBBDNF_00017	15108	15596	488	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	NA	NA	NA	NA	NA	NA	K00950
1	EPGBBDNF_00018	15577	16707	-1130	Multifunctional CCA protein	NA	NA	NA	NA	NA	NA	K00974
1	EPGBBDNF_00019	16720	17040	-320	Thiosulfate sulfurtransferase GlpE	NA	NA	NA	NA	NA	NA	K02439
1	EPGBBDNF_00020	17141	17956	-815	"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical"	NA	NA	NA	NA	NA	NA	K01525
1	EPGBBDNF_00021	17968	18354	-386	Protein ApaG	NA	NA	NA	NA	NA	NA	K06195
1	EPGBBDNF_00022	18364	19173	-809	Ribosomal RNA small subunit methyltransferase A	NA	NA	NA	NA	NA	NA	K02528
1	EPGBBDNF_00023	19194	20183	-989	4-hydroxythreonine-4-phosphate dehydrogenase	NA	NA	NA	NA	NA	NA	K00097
1	EPGBBDNF_00024	20186	21472	-1286	Chaperone SurA	NA	NA	NA	NA	NA	NA	K03771
1	EPGBBDNF_00025	21456	23738	-2282	LPS-assembly protein LptD	NA	NA	NA	NA	NA	NA	K04744
1	EPGBBDNF_00026	23949	24773	824	Co-chaperone protein DjlA	NA	NA	NA	NA	NA	NA	K05801
1	EPGBBDNF_00027	24807	25475	668	Ribulose-phosphate 3-epimerase	NA	NA	NA	NA	NA	NA	K01783
